individual,gender,mode,decision,dwell_time,incentive,congestion,alt,choice_id
98.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,155
102.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,156
102.0,2.0,MRT,0.0,15.0,0.0,0.0,stay,156
102.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,157
102.0,2.0,MRT,0.0,15.0,3.0,0.0,stay,157
102.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,158
102.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,158
103.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,159
103.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,159
109.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,160
109.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,160
111.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,161
111.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,161
111.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,162
111.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,162
111.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,163
111.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,163
111.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,164
111.0,2.0,MRT,0.0,45.0,3.0,0.0,stay,164
111.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,165
111.0,2.0,MRT,0.0,45.0,7.0,0.0,stay,165
115.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,166
115.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,166
116.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,167
116.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,167
116.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,168
116.0,2.0,MRT,0.0,30.0,3.0,0.0,stay,168
116.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,169
116.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,169
116.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,170
116.0,2.0,MRT,0.0,45.0,7.0,0.0,stay,170
117.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,171
117.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,171
118.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,172
118.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,172
118.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,173
118.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,173
118.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,174
118.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,174
